_id,distrito,bairro,unidade,classe,apresentacao,tipo_produto,codigo_produto,produto,cadum,data_carga,quantidade
1,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,AGENTE ALCALINIZANTE,AMP,MEDICAMENTOS,10028,BICARBONATO DE SODIO 10% SOLUCAO INJETAVEL - 10ML,30004,2024-10-10T00:00:00,"0,0"
2,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,AGENTE ANTIRESSORTIVO,COMPR,MEDICAMENTOS,10651,ALENDRONATO DE SODIO 70MG,30068,2024-10-10T00:00:00,"76,0"
3,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,AGENTE URICOSÚRICO,COMPR,MEDICAMENTOS,10669,ALOPURINOL 300MG,30069,2024-10-10T00:00:00,"370,0"
4,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,AINE,AMP,MEDICAMENTOS,10057,CETOPROFENO 50MG/ML SOLUCAO INJETAVEL - 2ML,30048,2024-10-10T00:00:00,"34,0"
5,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,AINE/ ANTICOAGULANTE,COMPR,MEDICAMENTOS,10003,ACIDO ACETILSALICILICO 100MG,30064,2024-10-10T00:00:00,"2580,0"
6,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,AMP,MEDICAMENTOS,10111,DIPIRONA 500MG/ML SOLUCAO INJETAVEL - 2ML,30099,2024-10-10T00:00:00,"29,0"
7,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,COMPR,MEDICAMENTOS,10110,DIPIRONA 500MG,30219,2024-10-10T00:00:00,"6630,0"
8,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,COMPR,MEDICAMENTOS,10608,IBUPROFENO 600MG,30119,2024-10-10T00:00:00,"1840,0"
9,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,COMPR,MEDICAMENTOS,10673,PARACETAMOL 500MG,30138,2024-10-10T00:00:00,"910,0"
10,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,FRASCO,MEDICAMENTOS,10109,DIPIRONA 500MG/ML SOLUCAO ORAL - 10ML,30175,2024-10-10T00:00:00,"88,0"
11,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,FRASCO,MEDICAMENTOS,10245,PARACETAMOL 200MG/ML SOLUCAO ORAL - 15ML,30139,2024-10-10T00:00:00,"40,0"
12,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO/ ANTIPIRÉTICO,FRASCO,MEDICAMENTOS,10827,IBUPROFENO 50MG/ML SUSPENSAO ORAL - 30ML,41434,2024-10-10T00:00:00,"83,0"
13,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO OPIÓIDE,AMP,MEDICAMENTOS,10943,MORFINA 10MG/ML SOLUCAO INJETAVEL - 1ML,34030,2024-10-10T00:00:00,"0,0"
14,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANALGÉSICO OPIÓIDE,COMPR,MEDICAMENTOS,10717,CODEINA 30MG + PARACETAMOL 500MG,21564,2024-10-10T00:00:00,"1110,0"
15,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANESTÉSICO LOCAL,AMP,MEDICAMENTOS,10408,LIDOCAINA 2% S/ VASOCONSTRICTOR SOLUCAO INJETAVEL - 5ML,30281,2024-10-10T00:00:00,"6,0"
16,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANESTÉSICO LOCAL,BISN.,MEDICAMENTOS,10202,LIDOCAINA 2% GEL TOPICO - 30G,30127,2024-10-10T00:00:00,"21,0"
17,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANESTÉSICO LOCAL,FR/AMP,MEDICAMENTOS,10207,LIDOCAINA 2% SEM VASOCONSTRICTOR SOLUCAO INJETAVEL - 20ML,30213,2024-10-10T00:00:00,"0,0"
18,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANSIOLÍTICO (BENZODIAZEPÍNICO),AMP,MEDICAMENTOS,10097,DIAZEPAM 5MG/ML SOLUCAO INJETAVEL - 2ML,30218,2024-10-10T00:00:00,"12,0"
19,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANSIOLÍTICO (BENZODIAZEPÍNICO),COMPR,MEDICAMENTOS,10096,DIAZEPAM 10MG,30217,2024-10-10T00:00:00,"0,0"
20,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANSIOLÍTICO (BENZODIAZEPÍNICO),COMPR,MEDICAMENTOS,10548,CLONAZEPAM 2MG,30196,2024-10-10T00:00:00,"0,0"
21,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIÁCIDO,FRASCO,MEDICAMENTOS,10175,HIDROXIDO DE ALUMINIO 60MG/ML SUSPENSAO ORAL - 100ML,13868,2024-10-10T00:00:00,"69,0"
22,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIALÉRGICO (ANTI-HISTAMÍNICO,AMP,MEDICAMENTOS,10265,PROMETAZINA 25MG/ML SOLUCAO INJETAVEL - 2ML,30146,2024-10-10T00:00:00,"29,0"
23,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIALÉRGICO (ANTI-HISTAMÍNICO,COMPR,MEDICAMENTOS,10264,PROMETAZINA 25MG,30310,2024-10-10T00:00:00,"440,0"
24,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIALÉRGICO (ANTI-HISTAMÍNICO,COMPR,MEDICAMENTOS,10831,LORATADINA 10MG,39589,2024-10-10T00:00:00,"250,0"
25,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIALÉRGICO (ANTI-HISTAMÍNICO,FRASCO,MEDICAMENTOS,10095,DEXCLORFENIRAMINA 2MG/5ML SOLUCAO ORAL - 100ML,30097,2024-10-10T00:00:00,"4,0"
26,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIALÉRGICO (ANTI-HISTAMÍNICO,FRASCO,MEDICAMENTOS,10832,LORATADINA 1MG/ML SOLUCAO ORAL - 100ML,39588,2024-10-10T00:00:00,"16,0"
27,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIANÊMICO,COMPR,MEDICAMENTOS,10006,ACIDO FOLICO 5MG,30065,2024-10-10T00:00:00,"2030,0"
28,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIANÊMICO,COMPR,MEDICAMENTOS,10290,SULFATO FERROSO 40MG,30158,2024-10-10T00:00:00,"1500,0"
29,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIANÊMICO,COMPR,MEDICAMENTOS,10447,ACIDO FOLINICO 15MG,43725,2024-10-10T00:00:00,"0,0"
30,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIANÊMICO,FRASCO,MEDICAMENTOS,10289,SULFATO FERROSO 25MG/ML SOLUCAO ORAL - 30ML,30159,2024-10-10T00:00:00,"30,0"
31,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIARRÍTMICO,COMPR,MEDICAMENTOS,10016,AMIODARONA 200MG,30070,2024-10-10T00:00:00,"260,0"
32,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIARRÍTMICO,COMPR,MEDICAMENTOS,10305,VERAPAMIL 80MG,30164,2024-10-10T00:00:00,"330,0"
33,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIASMÁTICO (CORTICOSTERÓIDE),FRASCO,MEDICAMENTOS,10072,"BECLOMETASONA 200MCG/DOSE, AEROSSOL ORAL SPRAY - 200 DOSES",43022,2024-10-10T00:00:00,"4,0"
34,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIASMÁTICO (CORTICOSTERÓIDE),FRASCO,MEDICAMENTOS,10332,BECLOMETASONA 50MCG/DOSE AEROSSOL NASAL AQUOSO SPRAY - 200 DOSES,31782,2024-10-10T00:00:00,"0,0"
35,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIASMÁTICO (CORTICOSTERÓIDE),FRASCO,MEDICAMENTOS,10605,BUDESONIDA 32MCG/DOSE SOLUCAO NASAL - 120 DOSES,30082,2024-10-10T00:00:00,"79,0"
36,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIASMÁTICO (CORTICOSTERÓIDE),FRASCO,MEDICAMENTOS,10606,BUDESONIDA 64MCG/DOSE SOLUCAO NASAL - 120 DOSES,30013,2024-10-10T00:00:00,"78,0"
37,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO,FRASCO,MEDICAMENTOS,30307,HIDROCORTISONA 10MG/ML + POLIMIXINA B 10.000UI/ML + NEOMICINA 5MG/ML SUSPENSAO OTOLOGICA - 10ML,30205,2024-10-10T00:00:00,"6,0"
38,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (CEFALOSPORINA 1ªG),COMPR,MEDICAMENTOS,10049,CEFALEXINA 500MG,30090,2024-10-10T00:00:00,"1682,0"
39,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (CEFALOSPORINA 1ªG),FRASCO,MEDICAMENTOS,10048,CEFALEXINA 250MG/5ML PO PARA SUSPENSAO ORAL - 100ML,30089,2024-10-10T00:00:00,"16,0"
40,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (LICOSAMIDA),AMP,MEDICAMENTOS,10680,CLINDAMICINA 150MG/ML SOLUCAO INJETAVEL - 4ML,30188,2024-10-10T00:00:00,"0,0"
41,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (MACROLÍDEO),COMPR,MEDICAMENTOS,10370,AZITROMICINA 500MG,30078,2024-10-10T00:00:00,"820,0"
42,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (MACROLÍDEO),COMPR,MEDICAMENTOS,10544,CLARITROMICINA 500MG,30325,2024-10-10T00:00:00,"300,0"
43,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (MACROLÍDEO),FRASCO,MEDICAMENTOS,10516,"AZITROMICINA 200MG/5ML (600MG), PO PARA SUSPENSAO ORAL - 15ML",30077,2024-10-10T00:00:00,"30,0"
44,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (NITROFURANO),CAPSULA,MEDICAMENTOS,10513,NITROFURANTOINA 100MG,33726,2024-10-10T00:00:00,"112,0"
45,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA),CAPSULA,MEDICAMENTOS,10018,AMOXICILINA 500MG,30072,2024-10-10T00:00:00,"1491,0"
46,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA),FR/AMP,MEDICAMENTOS,10248,PENICILINA G-BENZATINA 1.200.000UI PO PARA SUSPENSAO INJETAVEL,30448,2024-10-10T00:00:00,"149,0"
47,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA),FR/AMP,MEDICAMENTOS,10249,PENICILINA G-BENZATINA 600.000 UI PO PARA SUSPENSAO INJETAVEL,30446,2024-10-10T00:00:00,"0,0"
48,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA),FR/AMP,MEDICAMENTOS,10953,BENZILPENICILINA BENZATINA 300.000UI/ML SUSPENSAO INJETAVEL - 4ML,34117,2024-10-10T00:00:00,"0,0"
49,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA),FRASCO,MEDICAMENTOS,10019,AMOXICILINA 250MG/5ML PO PARA SUSPENSAO ORAL - 60ML,30074,2024-10-10T00:00:00,"100,0"
50,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA DE AMPLO ESPECTRO E BETALACTÂMICO),COMPR,MEDICAMENTOS,10670,AMOXICILINA 500MG + CLAVULONATO DE POTASSIO 125MG,30073,2024-10-10T00:00:00,"672,0"
51,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (PENICILINA DE AMPLO ESPECTRO E BETALACTÂMICO),FRASCO,MEDICAMENTOS,10671,"AMOXICILINA 50MG/ML + CLAVULONATO DE POTASSIO 12,5MG/ML - 75 OU 100ML",30075,2024-10-10T00:00:00,"16,0"
52,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (QUINOLONA),COMPR,MEDICAMENTOS,10068,CIPROFLOXACINO 500MG,30053,2024-10-10T00:00:00,"735,0"
53,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (QUINOLONA),FRASCO,MEDICAMENTOS,10368,CIPROFLOXACINO 3MG/ML SOLUCAO OFTALMICA - 5ML,30051,2024-10-10T00:00:00,"5,0"
54,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (SULFONAMIDA),COMPR,MEDICAMENTOS,10285,SULFAMETOXAZOL 400MG + TRIMETOPRIMA 80MG,30157,2024-10-10T00:00:00,"320,0"
55,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO      (SULFONAMIDA),FRASCO,MEDICAMENTOS,10286,SULFAMETOXAZOL 200MG/5ML + TRIMETOPRIMA 40MG/5ML SUSPENSAO ORAL - 100ML,30156,2024-10-10T00:00:00,"6,0"
56,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIBIÓTICO (TETRACICLINA),COMPR,MEDICAMENTOS,10427,DOXICICLINA 100MG,30179,2024-10-10T00:00:00,"120,0"
57,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTICOAGULANTE,COMPR,MEDICAMENTOS,10580,VARFARINA 5MG,30163,2024-10-10T00:00:00,"210,0"
58,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTICOAGULANTE,COMPR,MEDICAMENTOS,10597,CILOSTAZOL 100MG,30169,2024-10-10T00:00:00,"150,0"
59,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTICOLINÉRGICO (MUSCARÍNICO),AMP,MEDICAMENTOS,10026,"ATROPINA SULFATO 0,25MG/ML - 1ML",30003,2024-10-10T00:00:00,"20,0"
60,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTICOLINÉRGICO (MUSCARÍNICO),FRASCO,MEDICAMENTOS,10025,ATROPINA 1% SOLUCAO OFTALMICA - 5ML,30265,2024-10-10T00:00:00,"0,0"
61,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDEPRESSIVO,COMPR,MEDICAMENTOS,10389,CARBONATO DE LITIO 300MG,30087,2024-10-10T00:00:00,"0,0"
62,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDEPRESSIVO (INIBIDOR DA RECAPTAÇÃO DE SEROTONINA),CAPS/COMP/DRAG,MEDICAMENTOS,10449,FLUOXETINA 20MG,30108,2024-10-10T00:00:00,"0,0"
63,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDEPRESSIVO TRICÍCLICO,COMPR,MEDICAMENTOS,10017,AMITRIPTILINA 25MG,30071,2024-10-10T00:00:00,"0,0"
64,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDEPRESSIVO TRICÍCLICO,COMPR,MEDICAMENTOS,10180,IMIPRAMINA 25MG,30274,2024-10-10T00:00:00,"0,0"
65,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDEPRESSIVO TRICÍCLICO,COMPR,MEDICAMENTOS,10369,CLOMIPRAMINA 75MG SR (LIBERACAO PROLONGADA),30194,2024-10-10T00:00:00,"0,0"
66,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDIABÉTICO (BIGUANIDAS),COMPR,MEDICAMENTOS,10214,METFORMINA 850MG,30130,2024-10-10T00:00:00,"5340,0"
67,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDIABÉTICO (SULFONILURÉIA),COMPR,MEDICAMENTOS,10152,GLIBENCLAMIDA 5MG,30110,2024-10-10T00:00:00,"9180,0"
68,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDIABÉTICO (SULFONILURÉIA),COMPR,MEDICAMENTOS,10978,GLICLAZIDA 60MG (LIBERACAO PROLONGADA),34716,2024-10-10T00:00:00,"6660,0"
69,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIDISCINÉTICO,AMP,MEDICAMENTOS,10039,BIPERIDENO 5MG/ML SOLUCAO INJETAVEL - 1ML,30005,2024-10-10T00:00:00,"0,0"
70,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEMÉTICO (ANTAGONISTA DOS REC D2),AMP,MEDICAMENTOS,10219,METOCLOPRAMIDA 5MG/ML SOLUCAO INJETAVEL - 2ML,30285,2024-10-10T00:00:00,"33,0"
71,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEMÉTICO (ANTAGONISTA DOS REC D2),FRASCO,MEDICAMENTOS,10220,METOCLOPRAMIDA 4MG/ML SOLUCAO ORAL - 10ML,30228,2024-10-10T00:00:00,"18,0"
72,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEPILÉPTICO,COMPR,MEDICAMENTOS,10002,VALPROATO DE SODIO 250MG,30161,2024-10-10T00:00:00,"0,0"
73,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEPILÉPTICO,COMPR,MEDICAMENTOS,10047,CARBAMAZEPINA 200MG,30085,2024-10-10T00:00:00,"0,0"
74,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEPILÉPTICO,COMPR,MEDICAMENTOS,10679,VALPROATO DE SODIO 500MG,30162,2024-10-10T00:00:00,"0,0"
75,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEPILÉPTICO,FRASCO,MEDICAMENTOS,10008,VALPROATO DE SODIO 50MG/ML XAROPE -100ML,30066,2024-10-10T00:00:00,"0,0"
76,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIEPILÉPTICO,FRASCO,MEDICAMENTOS,10472,CARBAMAZEPINA 100MG/5ML SUSPENSAO ORAL - 100ML,30084,2024-10-10T00:00:00,"0,0"
77,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIESPASMÓDICO,COMPR,MEDICAMENTOS,10038,ESCOPOLAMINA 10MG,30041,2024-10-10T00:00:00,"480,0"
78,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO,BISN.,MEDICAMENTOS,10373,MICONAZOL 20MG/G CREME VAGINAL + APLICADOR - 80G,30134,2024-10-10T00:00:00,"32,0"
79,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO,BISN.,MEDICAMENTOS,10528,MICONAZOL 20MG/G CREME TOPICO - 28G,39669,2024-10-10T00:00:00,"28,0"
80,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO,CAPSULA,MEDICAMENTOS,10433,FLUCONAZOL 150MG,13548,2024-10-10T00:00:00,"272,0"
81,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO,FRASCO,MEDICAMENTOS,10237,NISTATINA 100.000UI/ML SOLUCAO ORAL - 50ML,30135,2024-10-10T00:00:00,"8,0"
82,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO,FRASCO,MEDICAMENTOS,10488,CETOCONAZOL 2% SHAMPOO - 100ML,23925,2024-10-10T00:00:00,"23,0"
83,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIFÚNGICO (FITOTERÁPICO),BISN.,MEDICAMENTOS,70006,"AROEIRA (SCHINUS TEREBINTHIFOLIUS) 0,666ML/G GEL VAGINAL - 60G",42003,2024-10-10T00:00:00,"0,0"
84,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI FÚNGO,COMPR,MEDICAMENTOS,10804,ITRACONAZOL 100MG,20710,2024-10-10T00:00:00,"282,0"
85,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIGLAUCOMATOSO,FRASCO,MEDICAMENTOS,10364,"TIMOLOL 0,5% SOLUCAO OFTALMICA - 5ML",30160,2024-10-10T00:00:00,"0,0"
86,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIGLAUCOMATOSO,FRASCO,MEDICAMENTOS,10644,"TRAVOPROSTA 0,04MG/ML SOLUCAO OFTALMICA - 2,5ML",30291,2024-10-10T00:00:00,"0,0"
87,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (AGONISTA ALFA-2),COMPR,MEDICAMENTOS,10664,METILDOPA 250MG,39664,2024-10-10T00:00:00,"260,0"
88,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (ALFA E BETA BLOQUEADOR),COMPR,MEDICAMENTOS,10584,"CARVEDILOL 12,5MG",30088,2024-10-10T00:00:00,"900,0"
89,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (ANTAGONISTA DOS RECEPTORES DE ANGIOTENSINA II),COMPR,MEDICAMENTOS,10684,LOSARTANA 50MG,30128,2024-10-10T00:00:00,"7080,0"
90,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (BETA BLOQUEADOR),COMPR,MEDICAMENTOS,10267,PROPRANOLOL 40MG,30149,2024-10-10T00:00:00,"680,0"
91,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (BETA BLOQUEADOR),COMPR,MEDICAMENTOS,10968,ATENOLOL 50MG,32363,2024-10-10T00:00:00,"3210,0"
92,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (BLOQUEADOR DOS CANAIS DE CÁLCIO),COMPR,MEDICAMENTOS,10969,ANLODIPINO 5MG,34710,2024-10-10T00:00:00,"10470,0"
93,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (IECA),COMPR,MEDICAMENTOS,10045,CAPTOPRIL 25MG,30083,2024-10-10T00:00:00,"690,0"
94,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-HIPERTENSIVO (IECA),COMPR,MEDICAMENTOS,10474,ENALAPRIL 10MG,30129,2024-10-10T00:00:00,"19000,0"
95,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIINFECCIOSO TÓPICO,BISN.,MEDICAMENTOS,10233,NEOMICINA 5MG/G + BACITRACINA 250UI/G CREME TOPICO - 10G,30233,2024-10-10T00:00:00,"137,0"
96,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIINFECCIOSO TÓPICO,BISN.,MEDICAMENTOS,10825,SULFADIAZINA DE PRATA 1% CREME DERMATOLOGICO - 30G.,41413,2024-10-10T00:00:00,"198,0"
97,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),BISN.,MEDICAMENTOS,10089,"DEXAMETASONA 0,1% CREME DERMATOLOGICO - 10G",30095,2024-10-10T00:00:00,"147,0"
98,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),COMPR,MEDICAMENTOS,10261,PREDNISONA 20MG,30144,2024-10-10T00:00:00,"760,0"
99,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),COMPR,MEDICAMENTOS,10262,PREDNISONA 5MG,30145,2024-10-10T00:00:00,"720,0"
100,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),FR/AMP,MEDICAMENTOS,10093,"DEXAMETASONA 4MG/ML SOLUCAO INJETAVEL - 2,5ML",30170,2024-10-10T00:00:00,"36,0"
101,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),FR/AMP,MEDICAMENTOS,10171,HIDROCORTISONA 100MG PO PARA SOLUCAO INJETAVEL,30272,2024-10-10T00:00:00,"48,0"
102,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),FR/AMP,MEDICAMENTOS,10172,HIDROCORTISONA 500MG PO PARA SOLUCAO INJETAVEL,30273,2024-10-10T00:00:00,"0,0"
103,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTI-INFLAMATÓRIO (ESTERÓIDE),FRASCO,MEDICAMENTOS,10260,PREDNISOLONA 3MG/ML SOLUCAO ORAL - 100ML,30143,2024-10-10T00:00:00,"83,0"
104,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARASITÁRIO,COMPR,MEDICAMENTOS,10448,ALBENDAZOL 400MG,30067,2024-10-10T00:00:00,"610,0"
105,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARASITÁRIO,FRASCO,MEDICAMENTOS,10965,ALBENDAZOL 40MG/ML SUSPENSAO ORAL - 10ML,34708,2024-10-10T00:00:00,"106,0"
106,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARASITÁRIO/ ANTIBIÓTICO,BISN.,MEDICAMENTOS,10437,METRONIDAZOL 10% GEL VAGINAL + APLICADOR - 50G,30131,2024-10-10T00:00:00,"18,0"
107,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARASITÁRIO/ ANTIBIÓTICO,COMPR,MEDICAMENTOS,10224,METRONIDAZOL 250MG,34721,2024-10-10T00:00:00,"300,0"
108,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARASITÁRIO/ ANTIBIÓTICO,FRASCO,MEDICAMENTOS,10221,METRONIDAZOL 4% SOLUCAO ORAL -100ML,30132,2024-10-10T00:00:00,"0,0"
109,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARKINSONIANO,COMPR,MEDICAMENTOS,10030,BIPERIDENO 2MG,30080,2024-10-10T00:00:00,"0,0"
110,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARKINSONIANO,COMPR,MEDICAMENTOS,10195,LEVODOPA 250MG + CARBIDOPA 25MG,30123,2024-10-10T00:00:00,"0,0"
111,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPARKINSONIANO,COMPR,MEDICAMENTOS,10705,LEVODOPA 200MG+ BENSERAZIDA 50MG,28570,2024-10-10T00:00:00,"0,0"
112,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPSICÓTICO,AMP,MEDICAMENTOS,10082,CLORPROMAZINA 5MG/ML SOLUCAO INJETAVEL - 5ML,30214,2024-10-10T00:00:00,"0,0"
113,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPSICÓTICO,AMP,MEDICAMENTOS,10458,FLUFENAZINA 25MG/ML SOLUCAO INJETAVEL - 1ML,30241,2024-10-10T00:00:00,"0,0"
114,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPSICÓTICO,COMPR,MEDICAMENTOS,10080,CLORPROMAZINA 100MG,30093,2024-10-10T00:00:00,"0,0"
115,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPSICÓTICO,COMPR,MEDICAMENTOS,10200,LEVOMEPROMAZINA 100MG,30276,2024-10-10T00:00:00,"0,0"
116,1,BOA VISTA,Us 131 Distrito Sanitario I Recife,ANTIPSICÓTICO,COMPR,MEDICAMENTOS,10201,LEVOMEPROMAZINA 25MG,30277,2024-10-10T00:00:00,"0,0"
